name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Bajaj Avenger 220 dtsi,60000,2017,Individual,1st owner,16600,95000.0
Honda CBR 150,60000,2015,Individual,1st owner,32000,120000.0
Bajaj Avenger 150 street,60000,2018,Individual,1st owner,20000,80000.0
Yamaha FZ  v 2.0,60000,2017,Individual,1st owner,29000,84000.0
Yamaha FZ  v 2.0,60000,2018,Individual,1st owner,25000,84000.0
Bajaj Pulsar  NS 200,60000,2016,Individual,1st owner,25000,99000.0
TVS Apache RTR 160,60000,2014,Individual,1st owner,19000,81000.0
Hero Extreme,55000,2016,Individual,1st owner,15000,78700.0
Yamaha FZ S V 2.0,55000,2017,Individual,1st owner,58000,84000.0
Bajaj Pulsar 220 F,52000,2012,Individual,1st owner,45000,94000.0
Bajaj Pulsar 220 F,51000,2018,Individual,1st owner,24000,94000.0
TVS Apache RTR 180,50000,2013,Individual,1st owner,6000,82600.0
Hero Passion X pro,50000,2018,Individual,1st owner,31000,55000.0
Bajaj Pulsar NS 200,50000,2014,Individual,1st owner,13000,99000.0
Bajaj Pulsar NS 200,50000,2015,Individual,1st owner,45000,99000.0
Yamaha Fazer ,50000,2016,Individual,1st owner,8000,88000.0
Honda Activa 4G,48000,2019,Individual,1st owner,4300,51000.0
TVS Sport ,48000,2019,Individual,1st owner,15000,52000.0
Yamaha FZ S V 2.0,48000,2017,Individual,1st owner,23000,84000.0
Honda Dream Yuga ,48000,2019,Individual,1st owner,8600,54000.0
Honda Activa 4G,45000,2019,Individual,1st owner,4000,51000.0
Bajaj Avenger Street 220,45000,2013,Individual,1st owner,24000,95000.0
TVS Apache RTR 180,45000,2016,Individual,1st owner,23000,82600.0
Bajaj Pulsar NS 200,45000,2014,Individual,1st owner,14500,99000.0
Bajaj Avenger 220 dtsi,45000,2012,Individual,1st owner,27000,95000.0
Hero Splender iSmart,45000,2018,Individual,1st owner,14000,54000.0
Activa 3g,45000,2018,Individual,1st owner,500,54000.0
Hero Passion Pro,45000,2018,Individual,1st owner,1000,55000.0
TVS Apache RTR 160,42000,2016,Individual,1st owner,42000,81000.0
Honda CB Trigger,42000,2015,Individual,1st owner,12000,73000.0
Hero Splender iSmart,40000,2017,Individual,1st owner,14000,54000.0
Yamaha FZ S ,40000,2014,Individual,1st owner,5500,83000.0
Hero Passion Pro,40000,2017,Individual,1st owner,6700,55000.0
Bajaj Pulsar 135 LS,40000,2016,Individual,1st owner,13700,64000.0
Activa 4g,40000,2019,Individual,1st owner,1300,51000.0
Honda CB Unicorn,38000,2017,Individual,1st owner,38600,72000.0
Hero Honda CBZ extreme,38000,2013,Individual,1st owner,75000,78700.0
Honda Karizma,35000,2013,Individual,1st owner,30000,105000.0
Honda Activa 125,35000,2018,Individual,1st owner,24000,57000.0
TVS Jupyter,35000,2016,Individual,1st owner,19000,52000.0
Honda Karizma,31000,2012,Individual,1st owner,213000,105000.0
Hero Honda Passion Pro,30000,2014,Individual,1st owner,60000,51000.0
Hero Splender Plus,30000,2018,Individual,1st owner,50000,48000.0
Honda CB Shine,30000,2015,Individual,1st owner,30000,58000.0
Bajaj Discover 100,27000,2015,Individual,1st owner,21000,47000.0
Bajaj Pulsar 150,25000,2010,Individual,2nd owner,26000,75000.0
Suzuki Access 125,25000,2010,Individual,1st owner,1900,58000.0
TVS Wego,25000,2012,Individual,1st owner,22000,52000.0
Honda CB twister,25000,2015,Individual,1st owner,32000,51000.0
Hero Glamour,25000,2015,Individual,1st owner,18000,57000.0
Hero Super Splendor,20000,2007,Individual,1st owner,55000,57000.0
Bajaj Pulsar 150,20000,2010,Individual,1st owner,60000,75000.0
Bajaj Discover 125,20000,2014,Individual,2nd owner,25000,57000.0
Hero Hunk,20000,2009,Individual,2nd owner,49000,75000.0
Hero  Ignitor Disc,20000,2015,Individual,2nd owner,24000,65000.0
Hero  CBZ Xtreme,20000,2010,Individual,1st owner,50000,78700.0
Bajaj  ct 100,18000,2017,Individual,1st owner,35000,32000.0
Activa 3g,17000,2010,Individual,1st owner,500000,52000.0
Honda CB twister,16000,2012,Individual,1st owner,33000,51000.0
Bajaj Discover 125,15000,2013,Individual,2nd owner,35000,57000.0
Honda CB Shine,12000,2009,Individual,1st owner,53000,58000.0
Bajaj Pulsar 150,10000,2008,Individual,1st owner,92233,75000.0
